iter	Passed	Remaining
0	3	1147
1	7	1055
2	10	1022
3	14	1062
4	18	1069
5	21	1049
6	24	1023
7	28	1035
8	31	1026
9	34	1010
10	42	1105
11	46	1122
12	47	1051
13	56	1154
14	64	1218
15	69	1232
16	73	1215
17	79	1246
18	84	1248
19	88	1234
20	91	1216
21	92	1171
22	108	1312
23	115	1323
24	119	1309
25	123	1296
26	125	1271
27	129	1260
28	130	1220
29	133	1201
30	136	1184
31	140	1173
32	143	1164
33	146	1147
34	150	1137
35	153	1124
36	157	1116
37	160	1109
38	164	1099
39	167	1089
40	171	1081
41	175	1079
42	180	1077
43	182	1064
44	185	1052
45	187	1032
46	189	1022
47	195	1026
48	201	1030
49	201	51	220	1052
52	229	1069
53	233	1065
54	239	1067
54	254	232	156	250	1065
57	254	1060
57	263	1097
58	267	1092
59	65	271	966066	276	961667	280	955
68	284	951
69	287	946
70	291	941
71	294	934
72	298	928
73	302	922
74	306	918
75	310	914
76	313	907
77	316	900
78	320	895
79	324	891
80	327	885
81	331	880
82	334	873
83	337	867
84	340	862
85	344	857
86	348	852
87	81	336	888	82	340	889	83	345	890	84	348	891	85	352	892	86	356	893	87	360	868
88	363	862
89	367	858
90	370	851
91	374	847
92	378	842
93	381	836
94	385	831
95	388	826
96	393	823
97	396	817
98	400	813
99	403	807
100	408	804
101	412	801
102	419	803
103	423	798
104	427	794
105	431	789
106	435	785
107	439	781
108	444	778
109	447	773
110	451	769
111	456	766
112	460	762
113	463	756
114	467	752
115	471	748
116	475	743
117	480	740
118	483	735
119	487	731
120	491	726
121	495	722
122	498	717
123	502	713
124	505	708
125	509	703
126	513	699
127	518	696
128	522	692
129	525	687
130	528	682
131	532	677
132	535	672
133	538	667
134	541	661
135	545	657
136	548	652
137	552	648
138	555	643
139	559	639
140	563	635
141	566	630
142	570	625
143	573	621
144	577	617
145	580	612
146	585	608
147	588	604
148	593	601
149	596	596
150	599	591
151	603	587
152	606	582
153	609	578
154	612	573
155	616	569
156	620	564
157	624	561
158	627	556
159	630	551
160	634	547
161	637	543
162	641	539
163	645	535
164	648	530
165	651	526
166	655	521
167	658	517
168	661	512
169	664	508
170	668	504
171	672	500
172	675	495
173	679	492
174180	698	4175181	703	4176182	707	4177183	711	448
184	715	444
185	719	441
186	723	436
187	726	432
188	730	429
189	734	425
190	738	421
191	742	417
192	747	414
193	750	409
194	753	405
195	758	402
196	761	398
197	764	393
198	768	389
199	772	386
200	775	381
201	778	377
202	781	373
203	784	369
204	788	365
205	791	361
206	798	358
207	801	354
208	805	350
209	809	346
210	813	343
211	816	338
212	820	334
213	823	330
214	827	327
215	831	323
216	835	319
217	838	315
218	841	311
219	845	307
220	848	303
221	851	299
222	855	295
223	858	291
224	862	287
225	865	283
226	869	279
227	872	2222228	875	271
229	880	267
230	883	263
231	887	260
232	891	256
233	894	252
234	898	248
235	901	244
236	905	240
237	908	236
238	912	232
239	916	229
240	919	225
241	923	221
242	927	217
243	930	213
244	934	209
245	938	206
246	942	202
247	946	198
248	949	1243249	953	1244250	956	1245251	959	1246252	963	1247253	966	1248	954	195
249	958	191
250	962	187
251	966	184
252	969	180
253	973	176
254	977	172
255	981	168
256	985	164
257	988	160
258	992	157
259	996	153
260	1000	149
261	1003	145
262	1006	141
263	1011	137
264	1015	134
265	1023	130
266	1029	127
267	1033	123
268	1037	119
269	1042	115
270	1046	111
271	1052	108
272	1056	104
273	1060	1002274	1064	962275	1068	922276	1073	892277	1079	852278	1082	812279	1086	772280	1089	732281	1094	692282	1098	652283	1102	622284	1105	58
285	1108	54
286	1111	50
287	1117	462288	1124	422289	1128	382290	1130	342291	1133	329292	1136	299293	1140	23
294	1145	19
295	1150	15
296	1155	11
297	1160	7
298	1165	3
299	1170	0
	0
